,region,place,cost_nomad,cost_coworking,cost_expat,coffee_in_cafe,cost_beer,places_to_work,free_wifi_available,internet_speed,freedom_score,peace_score,safety,fragile_states_index,press_freedom_index,female_friendly,lgbt_friendly,friendly_to_foreigners,racism,leisure,life_score,nightlife,weed
0,Europe,Budapest,1364.0,152.41,1273.0,1.73,1.73,1.0,0.4,31.0,0.6,0.8,0.6,52.7,28.17,1.0,0.27,0.6,0.4,0.8,0.86,1.0,0.0
1,Asia,Chiang Mai,777.0,98.88,780.0,0.85,0.85,0.8,0.6,14.0,0.2,0.4,0.8,78.8,44.53,0.8,0.6,0.6,0.4,0.62,0.75,0.4,0.0
2,Asia,Phuket,1012.0,155.43,1714.0,1.41,1.41,0.8,0.4,14.0,0.2,0.4,0.8,78.8,44.53,0.6,0.8,0.6,0.42,0.6,0.75,0.82,0.0
3,Asia,Bangkok,1197.0,131.41,1158.0,2.12,2.12,1.0,1.0,24.0,0.2,0.4,0.77,78.8,44.53,0.8,0.8,1.0,0.42,0.82,0.72,1.0,0.0
4,Asia,Ko Samui,1352.0,169.56,1347.0,1.41,1.41,0.8,0.4,15.0,0.2,0.4,0.8,78.8,44.53,0.8,0.8,1.0,0.4,0.8,0.8,0.8,0.0
5,Asia,Ko Lanta,812.0,135.65,1016.0,1.41,1.41,0.4,0.2,15.0,0.2,0.4,0.8,78.8,44.53,1.0,0.8,0.8,0.4,0.62,0.73,0.43,0.0
6,Asia,Chiang Rai,1134.0,195.38,1119.0,1.41,1.41,0.6,0.6,12.0,0.2,0.4,0.6,78.8,44.53,0.6,0.4,1.0,0.6,0.8,0.76,0.8,0.0
7,Asia,Pattaya,1134.0,113.04,1100.0,2.12,2.12,0.4,0.6,9.0,0.2,0.4,0.56,78.8,44.53,0.2,1.0,1.0,0.4,0.8,0.66,0.8,0.0
8,Asia,Ao Nang,866.0,172.39,1483.0,1.84,1.84,0.4,0.4,0.0,0.2,0.4,0.6,78.8,44.53,0.6,0.4,0.8,0.4,0.6,0.7,0.4,0.0
9,Asia,Hua Hin,1232.0,172.39,2173.0,1.55,1.55,0.4,0.4,13.0,0.2,0.4,0.4,78.8,44.53,0.6,0.4,0.6,0.6,0.6,0.66,0.6,0.0
10,Asia,Ko Pha Ngan,777.0,110.21,1152.0,1.41,1.41,0.4,0.2,2.0,0.2,0.4,0.6,78.8,44.53,0.6,0.8,0.8,0.4,0.6,0.65,1.0,0.0
11,Asia,Ko Tao,1247.0,28.26,1092.0,1.41,1.41,0.2,0.4,2.0,0.2,0.4,0.6,78.8,44.53,1.0,0.8,0.8,0.4,0.6,0.67,0.4,0.0
12,Asia,Ko Phi Phi,1285.0,110.21,730.0,1.41,1.41,0.2,0.2,3.0,0.2,0.4,0.8,78.8,44.53,0.6,0.6,0.8,0.4,0.6,0.66,1.0,0.0
13,Asia,Pai,1297.0,423.9,971.0,1.41,1.41,0.6,0.4,4.0,0.2,0.4,0.8,78.8,44.53,0.6,0.6,1.0,0.4,0.4,0.66,0.2,0.0
14,Europe,Prague,1639.0,159.13,1653.0,1.99,1.99,1.0,0.6,15.0,0.8,0.8,0.8,40.8,16.66,1.0,0.6,0.8,0.42,1.0,0.83,1.0,1.0
15,Europe,Brno,1699.0,79.25,912.0,0.97,0.97,0.4,0.4,26.0,0.8,0.8,0.8,40.8,16.66,0.8,0.6,0.8,0.4,0.4,0.74,0.6,1.0
16,Asia,Taipei,1545.0,47.01,1640.0,1.88,1.88,1.0,1.0,16.0,0.6,0.8514819054220603,1.0,51.688224038315305,24.37,1.0,0.8,0.8,0.0,1.0,0.93,0.6,0.0
17,Asia,New Taipei City,2695.0,251.44,909.0,0.0,0.0,0.8,0.8,25.0,0.6,0.7250866510337128,0.8,42.367061286607196,24.37,0.8,0.6,0.6,0.6,0.8,0.85,0.8,0.0
18,Asia,Taichung,1456.0,219.39,1010.0,1.57,1.57,0.6,1.0,7.0,0.6,0.7191142660327949,0.8,36.29180857811539,24.37,0.8,0.6,0.6,0.0,0.4,0.77,0.4,0.0
19,Asia,Kaohsiung,1160.0,95.59,835.0,1.57,1.57,0.4,1.0,9.0,0.6,0.8543100666948442,1.0,38.40948567407396,24.37,1.0,0.8,1.0,0.0,0.6,0.82,0.6,0.0
20,Asia,Tainan,1398.0,251.44,1921.0,0.0,0.0,0.6,0.8,5.0,0.6,0.6069799947381322,0.8,43.56815522593561,24.37,0.8,0.6,0.6,0.6,0.8,0.79,0.6,0.0
21,Americas,Austin,3028.0,200.0,3309.0,5.0,5.0,1.0,0.6,118.0,0.6,0.8,0.73,34.0,22.49,0.8,0.6,0.8,0.8,1.0,0.95,1.0,0.0
22,Americas,Miami,3238.0,250.0,4325.0,4.0,4.0,1.0,1.0,81.0,0.6,0.8,0.73,34.0,22.49,0.8,1.0,0.8,0.8,1.0,1.0,1.0,0.0
23,Americas,Portland,3503.0,300.0,2691.0,5.0,5.0,1.0,0.4,23.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,1.0,0.8,1.0,0.95,1.0,1.0
24,Americas,San Diego,3427.0,490.0,3764.0,5.0,5.0,1.0,1.0,55.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,0.6,0.92,1.0,1.0
25,Americas,Atlanta,2956.0,300.0,2760.0,3.5,3.5,1.0,0.6,99.0,0.6,0.8,0.4,34.0,22.49,0.8,1.0,0.8,0.8,0.8,0.87,0.6,0.0
26,Americas,Minneapolis,3193.0,400.0,3016.0,4.0,4.0,1.0,0.6,17.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,0.8,0.89,0.44,1.0
27,Americas,Oakland,3400.0,250.0,3292.0,5.0,5.0,1.0,0.8,20.0,0.6,0.8,0.38,34.0,22.49,0.8,0.62,0.6,0.8,0.6,0.87,0.8,1.0
28,Americas,Houston,3164.0,199.0,2884.0,6.0,6.0,1.0,0.6,15.0,0.6,0.8,0.4,34.0,22.49,0.0,0.6,0.64,0.82,0.45,0.83,0.8,0.0
29,Americas,Las Vegas,2552.0,175.0,2572.0,5.0,5.0,0.8,0.98,55.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,1.0,0.8,1.0,0.94,1.0,1.0
30,Americas,Denver,3602.0,450.0,3306.0,4.0,4.0,1.0,0.6,101.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.62,0.88,0.6,1.0
31,Americas,Seattle,4370.0,345.0,3178.0,5.0,5.0,1.0,1.0,17.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.91,0.8,1.0
32,Americas,San Antonio,2671.0,50.0,2109.0,5.0,5.0,0.8,0.8,45.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.88,0.8,0.0
